time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega,lat,lon,alt
1.2711527405e+02,6.9342371328e+03,8.0057175311e+02,9.9058267658e-01,-1.0345292767e+00,6.2504042267e+00,-1.4814563585e-04,6.3354403038e+00,6.9802980399e+03,-3.7011440167e+01,5.3826303192e+03,1.5984109156e-03,3.9308948944e+03,4.4170000451e+04,-6.3101433600e+00,2.4901892383e-03,4.4170000000e+04,3.0049426586e-01,-3.0049426276e-01,-4.3932791194e-06,-4.2928726872e-05,4.8965960052e+03,7.0000798654e+03,3.7651807730e+03,5.1338646377e+03,3.2565211660e+00,-2.9850342325e+00,-2.9381812720e+00,-4.9083803774e-02,1.4286039885e-04,1.5711909595e+00,4.7127982333e+00,1.3844956953e-04,4.4236551412e+00,7.0229803840e+02
1.3672784091e+02,6.9239169081e+03,8.6060969467e+02,9.8910481036e-01,-1.1127046726e+00,6.2410332396e+00,-1.5934035400e-04,6.3394485258e+00,6.9771968135e+03,-3.7011409369e+01,5.3826347981e+03,1.5984089205e-03,3.9308998008e+03,4.4170000451e+04,-6.3101658523e+00,2.6778270449e-03,4.4170000000e+04,3.0049552541e-01,-3.0049552228e-01,6.1139127717e-06,-4.2929060445e-05,4.8965960052e+03,7.0000924699e+03,3.7651771264e+03,5.1338667737e+03,3.2652739842e+00,-2.9731357870e+00,-2.9227543287e+00,-5.2773708335e-02,1.4286090943e-04,1.5712206939e+00,4.7127930014e+00,1.3830446068e-04,4.4316720356e+00,6.9919681200e+02
1.4634040778e+02,6.9128452771e+03,9.2055423848e+02,9.8751934282e-01,-1.1908674386e+00,6.2309715038e+00,-1.7053324641e-04,6.3437505600e+00,6.9738691489e+03,-3.7011376262e+01,5.3826396130e+03,1.5984067758e-03,3.9309050752e+03,4.4170000451e+04,-6.3101899874e+00,2.8653167052e-03,4.4170000000e+04,3.0049687941e-01,-3.0049687588e-01,1.6629079884e-05,-4.2929418725e-05,4.8965960052e+03,7.0001060197e+03,3.7651732063e+03,5.1338690699e+03,3.2740348652e+00,-2.9612318376e+00,-2.9073273406e+00,-5.6456474579e-02,1.4286145809e-04,1.5712504045e+00,4.7127877195e+00,1.3814865590e-04,4.4396969637e+00,6.9586914737e+02
1.5595297464e+02,6.9010223660e+03,9.8039873588e+02,9.8582629221e-01,-1.2690165589e+00,6.2202171639e+00,-1.8172416633e-04,6.3483466057e+00,6.9703150825e+03,-3.7011340832e+01,5.3826447656e+03,1.5984044806e-03,3.9309107196e+03,4.4170000451e+04,-6.3102157664e+00,3.0526472512e-03,4.4170000000e+04,3.0049832838e-01,-3.0049832409e-01,2.7152778332e-05,-4.2929801796e-05,4.8965960052e+03,7.0001205200e+03,3.7651690113e+03,5.1338715271e+03,3.2828043893e+00,-2.9493219910e+00,-2.8919003043e+00,-6.0131603220e-02,1.4286204405e-04,1.5712800895e+00,4.7127823839e+00,1.3798212651e-04,4.4477305068e+00,6.9231508100e+02
1.6556554151e+02,6.8884483111e+03,1.0401365197e+03,9.8402567822e-01,-1.3471509870e+00,6.2087682348e+00,-1.9291296257e-04,6.3532368767e+00,6.9665346538e+03,-3.7011303067e+01,5.3826502580e+03,1.5984020342e-03,3.9309167362e+03,4.4170000451e+04,-6.3102431907e+00,3.2398075842e-03,4.4170000000e+04,3.0049987288e-01,-3.0049986745e-01,3.7685562244e-05,-4.2930209746e-05,4.8965960052e+03,7.0001359763e+03,3.7651645397e+03,5.1338741464e+03,3.2915831390e+00,-2.9374058529e+00,-2.8764732169e+00,-6.3798595735e-02,1.4286266653e-04,1.5713097471e+00,4.7127769912e+00,1.3780484184e-04,4.4557732487e+00,6.8853465228e+02
1.7551623546e+02,6.8746408719e+03,1.1018560747e+03,9.8204844393e-01,-1.4280172071e+00,6.1961826602e+00,-2.0449292733e-04,6.3586093404e+00,6.9623828458e+03,-3.7011261496e+01,5.3826563037e+03,1.5983993412e-03,3.9309233588e+03,4.4170000451e+04,-6.3102733140e+00,3.4333601026e-03,4.4170000000e+04,3.0050157297e-01,-3.0050156597e-01,4.8599001062e-05,-4.2930658352e-05,4.8965960052e+03,7.0001529897e+03,3.7651596177e+03,5.1338770295e+03,3.3006810278e+00,-2.9250635095e+00,-2.8605034162e+00,-6.7585475765e-02,1.4286335040e-04,1.5713404173e+00,4.7127713446e+00,1.3760995682e-04,4.4641092043e+00,6.8438284427e+02
1.8546692942e+02,6.8600288469e+03,1.1634466698e+03,9.7995599385e-01,-1.5088652886e+00,6.1828480100e+00,-2.1607027056e-04,6.3642976063e+00,6.9579885667e+03,-3.7011217390e+01,5.3826627181e+03,1.5983964840e-03,3.9309303855e+03,4.4170000451e+04,-6.3103052032e+00,3.6267055447e-03,4.4170000000e+04,3.0050337675e-01,-3.0050336779e-01,5.9523376885e-05,-4.2931133829e-05,4.8965960052e+03,7.0001710409e+03,3.7651543954e+03,5.1338800885e+03,3.3097900823e+00,-2.9127135602e+00,-2.8445335536e+00,-7.1362552717e-02,1.4286407467e-04,1.5713710542e+00,4.7127656289e+00,1.3740347300e-04,4.4724562898e+00,6.7998856515e+02
1.9541762337e+02,6.8446124229e+03,1.2249008380e+03,9.7774835497e-01,-1.5896939506e+00,6.1687616389e+00,-2.2764480732e-04,6.3703019604e+00,6.9533518708e+03,-3.7011170730e+01,5.3826695041e+03,1.5983934614e-03,3.9309378192e+03,4.4170000451e+04,-6.3103388599e+00,3.8198310943e-03,4.4170000000e+04,3.0050528498e-01,-3.0050527365e-01,7.0459296451e-05,-4.2931636294e-05,4.8965960052e+03,7.0001901374e+03,3.7651488708e+03,5.1338833247e+03,3.3189109582e+00,-2.9003555634e+00,-2.8285636257e+00,-7.5129276443e-02,1.4286484013e-04,1.5714016557e+00,4.7127598399e+00,1.3718534948e-04,4.4808151588e+00,6.7535186925e+02
2.0536831733e+02,6.8283917997e+03,1.2862110854e+03,9.7542555618e-01,-1.6705018664e+00,6.1539207494e+00,-2.3921634606e-04,6.3766227058e+00,6.9484728163e+03,-3.7011121496e+01,5.3826766644e+03,1.5983902720e-03,3.9309456628e+03,4.4170000451e+04,-6.3103742857e+00,4.0127237427e-03,4.4170000000e+04,3.0050729844e-01,-3.0050728435e-01,8.1407363349e-05,-4.2932165870e-05,4.8965960053e+03,7.0002102872e+03,3.7651430416e+03,5.1338867393e+03,3.3280443150e+00,-2.8879890759e+00,-2.8125936289e+00,-7.8885097840e-02,1.4286564367e-04,1.5714322199e+00,4.7127539736e+00,1.3695554306e-04,4.4891864687e+00,6.7047281476e+02
2.1531901128e+02,6.8113671906e+03,1.3473698896e+03,9.7298762828e-01,-1.7512876601e+00,6.1383223909e+00,-2.5078468820e-04,6.3832601628e+00,6.9433514654e+03,-3.7011069669e+01,5.3826842019e+03,1.5983869146e-03,3.9309539198e+03,4.4170000451e+04,-6.3104114824e+00,4.2053702777e-03,4.4170000000e+04,3.0050941797e-01,-3.0050940071e-01,9.2368177763e-05,-4.2932722690e-05,4.8965960053e+03,7.0002314985e+03,3.7651369053e+03,5.1338903339e+03,3.3371908157e+00,-2.8756136529e+00,-2.7966235597e+00,-8.2629468886e-02,1.4286648916e-04,1.5714627445e+00,4.7127480260e+00,1.3671400815e-04,4.4975708837e+00,6.6535146386e+02
