time,ECI_X,ECI_Y,ECI_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
1.9079301083e+02,9.9275686891e+03,1.2019885830e+03,9.9275686891e-01,-7.5834532069e-01,6.2642203272e+00,-7.5834532069e-05,6.3099559380e+00,1.0000069881e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-3.3306690739e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320241e-04,-9.9999998999e-05,-6.9470320241e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1191176721e+00,3.1191018935e+00,3.1190861094e+00,1.5784119466e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.0625917879e+02,9.9153671084e+03,1.2988132503e+03,9.9153671084e-01,-8.1948363299e-01,6.2565150761e+00,-8.1948363299e-05,6.3099551765e+00,1.0000071087e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-2.2204460493e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320240e-04,-9.9999998999e-05,-6.9470320240e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1288766864e+00,3.1288677586e+00,3.1288588277e+00,8.9309020539e-06,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.2172534675e+02,9.9022205488e+03,1.3955141349e+03,9.9022205488e-01,-8.8054382886e-01,6.2482135532e+00,-8.8054382886e-05,6.3099548373e+00,1.0000071624e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-3.3306690739e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320240e-04,-9.9999998998e-05,-6.9470320240e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1386356991e+00,3.1386336229e+00,3.1386315461e+00,2.0768334436e-06,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.3719151471e+02,9.8881302636e+03,1.4920820209e+03,9.8881302636e-01,-9.4152010127e-01,6.2393165482e+00,-9.4152010127e-05,6.3099549205e+00,1.0000071492e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-5.5511151231e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320240e-04,-9.9999998998e-05,-6.9470320240e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1483947113e+00,-3.1347858202e+00,-3.1347810427e+00,-4.7774330573e-06,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.5335396682e+02,9.8723986820e+03,1.5928452795e+03,9.8723986820e-01,-1.0051455494e+00,6.2293836217e+00,-1.0051455494e-04,6.3099554588e+00,1.0000070639e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362212e-04,-6.9470320240e-04,-9.9999998998e-05,-6.9470320240e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1585930736e+00,-3.1245802980e+00,-3.1245683582e+00,-1.1939780494e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.6951641893e+02,9.8556395934e+03,1.6934427568e+03,9.8556395934e-01,-1.0686664064e+00,6.2188023449e+00,-1.0686664064e-04,6.3099564583e+00,1.0000069057e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362211e-04,-6.9470320240e-04,-9.9999998997e-05,-6.9470320240e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1687914383e+00,-3.1143747747e+00,-3.1143556738e+00,-1.9100885207e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
2.8567887104e+02,9.8378547418e+03,1.7938639826e+03,9.8378547418e-01,-1.1320760751e+00,6.2075738163e+00,-1.1320760751e-04,6.3099579188e+00,1.0000066744e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-2.2204460493e-16,6.3100000000e+04,7.0186362211e-04,-6.9470320240e-04,-9.9999998997e-05,-6.9470320240e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1789898070e+00,-3.1041692494e+00,-3.1041429894e+00,-2.6260001931e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
3.0246520490e+02,9.8182994476e+03,1.8979637417e+03,9.8182994476e-01,-1.1978086295e+00,6.1952278983e+00,-1.1978086295e-04,6.3099599237e+00,1.0000063568e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-2.2204460493e-16,6.3100000000e+04,7.0186362211e-04,-6.9470320239e-04,-9.9999998996e-05,-6.9470320239e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.1895818456e+00,-3.0935697808e+00,-3.0935360883e+00,-3.3692561940e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
3.1925153876e+02,9.7976418627e+03,2.0018504183e+03,9.7976418627e-01,-1.2634067775e+00,6.1821864345e+00,-1.2634067775e-04,6.3099624256e+00,1.0000059606e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-6.6613381478e-16,6.3100000000e+04,7.0186362211e-04,-6.9470320239e-04,-9.9999998995e-05,-6.9470320239e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2001738917e+00,-3.0829703085e+00,-3.0829291872e+00,-4.1121339303e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
3.3603787261e+02,9.7758843049e+03,2.1055123489e+03,9.7758843049e-01,-1.3288631695e+00,6.1684508844e+00,-1.3288631695e-04,6.3099654242e+00,1.0000054857e+04,-1.9935729602e+01,9.9930578906e+03,6.3187716614e-04,9.9436815317e+03,6.3100000316e+04,-6.3100000000e+00,-4.4408920985e-16,6.3100000000e+04,7.0186362211e-04,-6.9470320239e-04,-9.9999998995e-05,-6.9470320239e-08,9.9930529679e+03,1.0000071654e+04,9.9860441268e+03,9.9930554293e+03,3.2107659470e+00,-3.0723708316e+00,-3.0723222862e+00,-4.8545499997e-05,9.9999999738e-05,1.5707963268e+00,4.8553533064e+00
